ip_address,name,as_number,as_org,country_code,city,version,error,dnssec,reliability,checked_at,created_at
190.4.63.110,,23383,METRORED S.A. DE C.V.,HN,,Microsoft DNS 6.1.7601 (1DB15F75),,false,1.00,2020-11-17T18:07:30Z,2020-08-11T13:30:09Z
213.251.133.164,ks31884.kimsufi.com.,16276,OVH SAS,FR,,9.7.3,,false,1.00,2020-11-17T18:08:51Z,2020-08-11T14:20:02Z
190.108.85.3,,28032,INTERNEXA PERU S.A,PE,Lima,,,false,0.98,2020-09-21T22:51:32Z,2020-08-11T14:43:52Z
190.211.104.93,wlesca2.coopelesca.co.cr.,262145,Cooperativa de Electrificacion Rural de San Carlos R.L. (Coopelesca R.L.),CR,La Fortuna,,,false,1.00,2020-09-06T08:49:33Z,2020-08-11T15:44:23Z
45.55.147.169,usdns2.hideipvpn.com.,14061,DIGITALOCEAN-ASN,US,Clifton,SmartDNS 1.0.1,,false,0.96,2020-11-17T18:08:36Z,2020-08-12T01:12:21Z
45.90.28.203,dns1.nextdns.io.,34939,"nextdns, Inc.",US,,,,true,1.00,2020-11-17T18:07:49Z,2020-08-12T08:21:42Z
194.179.1.100,100.red-194-179-1.static.ccgg.telefonica.net.,3352,Telefonica De Espana,ES,,,,true,1.00,2020-09-15T12:51:06Z,2020-08-13T17:31:14Z
68.87.68.162,nrcns.s3woodstock.ga.atlanta.comcast.net.,7922,COMCAST-7922,US,Atlanta,[SECURED],,true,1.00,2020-11-17T02:11:37Z,2020-08-13T17:39:28Z
68.87.68.166,cns.s3woodstock.ga.atlanta.comcast.net.,7922,COMCAST-7922,US,Atlanta,[SECURED],,true,1.00,2020-09-21T17:50:07Z,2020-08-13T17:39:29Z
68.87.72.130,nrcns.area4.il.chicago.comcast.net.,7922,COMCAST-7922,US,Chicago,[SECURED],,true,1.00,2020-10-20T11:23:19Z,2020-08-13T17:39:57Z
68.87.76.178,nrcns.sanjose.ca.sanfran.comcast.net.,7922,COMCAST-7922,US,Sacramento,[SECURED],,true,1.00,2020-11-17T18:08:22Z,2020-08-13T17:40:20Z
68.87.76.182,cns.sanjose.ca.sanfran.comcast.net.,7922,COMCAST-7922,US,Sacramento,[SECURED],,true,1.00,2020-10-20T11:23:20Z,2020-08-13T17:40:23Z
68.87.77.130,nrcns.westlandrdc.mi.michigan.comcast.net.,7922,COMCAST-7922,US,Detroit,[SECURED],,true,1.00,2020-10-20T11:23:19Z,2020-08-13T17:40:26Z
68.87.77.134,cns.westlandrdc.mi.michigan.comcast.net.,7922,COMCAST-7922,US,Detroit,[SECURED],,true,1.00,2020-11-17T18:07:35Z,2020-08-13T17:40:27Z
186.179.241.146,,27775,Telecommunicationcompany Suriname - TeleSur,SR,Paramaribo,UNKNOWN,,true,0.90,2020-11-17T02:11:40Z,2020-08-13T20:13:55Z
190.109.224.227,static-190-109-224-227.redcotel.bo.,52495,Cotel Ltda.,BO,La Paz,,,false,0.96,2020-11-17T18:08:28Z,2020-08-13T20:20:05Z
200.105.133.162,ns.aguasdelillimani.com.,26210,AXS Bolivia S. A.,BO,La Paz,,,false,1.00,2020-10-20T11:23:21Z,2020-08-13T20:20:11Z
200.119.192.58,mail.agrosem-sa.com.,25620,COTAS LTDA.,BO,Santa Cruz,,,false,0.97,2020-09-21T17:50:09Z,2020-08-13T20:20:15Z
200.87.195.70,,6568,Entel S.A. - EntelNet,BO,Santa Cruz,,,false,0.96,2020-11-17T18:07:44Z,2020-08-13T20:20:29Z
196.3.10.222,ns1.dtop.gov.pr.,18895,NUSTREAM-COMMUNICATIONS,PR,,,,false,0.82,2020-11-17T18:07:15Z,2020-08-13T20:27:26Z
24.48.219.154,,14638,LCPRL,PR,Cabo Rojo,,,false,0.72,2020-11-17T18:06:44Z,2020-08-13T20:27:30Z
76.72.248.34,,30526,NEPTUNO-NET,PR,Trujillo Alto,,,false,0.94,2020-10-20T11:23:35Z,2020-08-13T20:27:33Z
64.247.161.186,186-161-247-64-static.centennialpr.net.,11992,CENTENNIAL,PR,San Juan,,,false,0.95,2020-11-17T18:07:52Z,2020-08-13T20:27:37Z
199.116.57.181,199-116-57-181.ip-solutions.us.,39963,IP-SOLUTIONS,PR,San Juan,,,false,0.82,2020-11-17T18:07:28Z,2020-08-13T20:27:46Z
74.120.24.129,,39963,IP-SOLUTIONS,PR,San Juan,,,false,0.81,2020-11-17T18:06:42Z,2020-08-13T20:27:48Z
74.120.24.81,,39963,IP-SOLUTIONS,PR,San Juan,,,false,0.80,2020-11-17T18:07:40Z,2020-08-13T20:27:49Z
74.120.24.97,,39963,IP-SOLUTIONS,PR,San Juan,,,false,0.81,2020-11-17T18:06:57Z,2020-08-13T20:27:50Z
199.85.127.20,,397213,ULTRADNS,US,,,,true,0.99,2020-11-17T18:06:27Z,2020-08-13T22:15:56Z
8.26.56.26,ns1.recursive.dnsbycomodo.com.,3356,LEVEL3,US,,,,true,0.98,2020-11-17T18:07:36Z,2020-08-13T22:15:58Z
8.20.247.20,ns2.recursive.dnsbycomodo.com.,3356,LEVEL3,US,,,,true,0.97,2020-11-17T18:07:22Z,2020-08-13T22:15:58Z
64.6.64.6,recpubns1.nstld.net.,10515,CLT-NIC,US,,ATLAS,,true,1.00,2020-11-17T18:07:33Z,2020-08-13T22:15:59Z
64.6.65.6,recpubns2.nstld.net.,22547,VGRS-AC20,US,,ATLAS,,true,1.00,2020-11-16T01:11:46Z,2020-08-13T22:16:00Z
66.70.228.164,ip164.ip-66-70-228.net.,16276,OVH SAS,CA,,[hidden],,true,0.98,2020-11-17T18:08:25Z,2020-08-13T22:16:34Z
2607:5300:203:439c::102,,16276,OVH SAS,CA,,[hidden],,true,1.00,2020-11-17T18:08:07Z,2020-08-13T22:16:44Z
2001:19f0:6401:b3d:5400:2ff:fe5a:fb9f,,20473,AS-CHOOPA,US,,9.11.5-P4-5.1+deb10u2-Debian,,true,1.00,2020-11-17T18:07:29Z,2020-08-13T22:16:46Z
162.243.19.47,,14061,DIGITALOCEAN-ASN,US,New York,[hidden],,true,1.00,2020-09-03T03:49:13Z,2020-08-13T22:17:23Z
2604:a880:0:1010::b:4001,,14061,DIGITALOCEAN-ASN,US,New York,[hidden],,true,1.00,2020-11-17T18:07:28Z,2020-08-13T22:17:24Z
